korean_NAP_sector,GGA_target_code,GGA_target_label,alignment_strength,korean_policy_instrument,UAE_belem_indicator_match,IRR_2025_estimate,data_confidence,evidence_quote_korean,evidence_quote_belem,reference
기반시설 적응,MIT-ADAPT,Mitigation-Adaptation nexus,◐MED,탄소중립도시 + 기후 회복력 통합 (정합 추구하나 trade-off 미평가),SBSTA work on mitigation-adaptation co-benefits,0.58,HIGH,탄소중립과 기후위기 적응의 통합 추진 (탄소중립기본법 §41),Integrated approach for mitigation-adaptation co-benefits,제3차 §V; FCCC/SBSTA/2025/L.05_advance
기반시설 적응,JT-ADAPT,Just Transition — 인프라 취약지역,◐MED,노후인프라 취약지역 우선 적응투자 + 지역균형발전 연계,UAE JTWP infrastructure for vulnerable communities,0.52,MEDIUM,취약지역 기후위기 적응형 인프라 우선 투자 (제3차 §III.2.3); 지역균형발전 연계,Just transition includes climate-resilient infrastructure for vulnerable communities,제3차 §III.2; UAE JTWP outcome framework
자연·환경 적응,GGA-IND,GGA ecosystems target 9(d),●HIGH,국립공원·생태복원 + 생물다양성 모니터링 (Nodality 강함),UAE-Belém 9(d) Ecosystems and biodiversity,0.70,HIGH,생태계 기반 적응 (EbA) 확대 + 생물다양성 모니터링 (제3차 §III.3),Ecosystem-based adaptation terrestrial/marine ecosystem protection (UAE-Belém 9d),제3차 §III.3; UAE_Belem_9d_Ecosystems
자연·환경 적응,ADAPT-FIN,Adaptation finance — 생태계 복원,◐MED,산림청 생태계 복원 예산 + 습지보전기금 (국내 Treasure),GEF/GCF ecosystem-based adaptation finance,0.50,MEDIUM,산림·습지·해안 생태계 복원 예산 확대 (제3차 §III.3.1); GCF 생태계 사업 참여 미확인,GEF and GCF support for ecosystem-based adaptation,제3차 §III.3; FCCC/PA/CMA/2025/L.24
자연·환경 적응,L&D-OP,L&D — 생태계 비경제적 손실,○LOW,생물다양성 손실 보전 (국내법 있음 국제 FRLD 비경제 손실 미연계),FRLD non-economic losses ecosystems,0.30,LOW_CONFIDENCE,생물다양성 손실·훼손에 대한 국내 복원 프로그램 (제3차 §III.3.5); FRLD 직접 접근 미연계,Non-economic losses including ecosystem services damage (L&D Fund),FRLD COP28; 생물다양성법 §15
자연·환경 적응,NAPs,National Adaptation Plans implementation,●HIGH,5년 주기 + 17개 부문 + 시도 NAP 의무 수립 (Authority+Organization 강함),NAP iterative submission (FCCC/SBI/2025/17),0.82,HIGH,국가-광역-기초 3중 NAP 체계 수립 (탄소중립기본법 §47),Each Party should formulate and implement national adaptation plans (Paris Art. 7.9),제3차 §VI; FCCC/SBI/2025/17 (NAP report)
자연·환경 적응,MIT-ADAPT,Mitigation-Adaptation nexus,◐MED,산림 흡수원 + 생태계 탄소 (통합 인프라),Mitigation-Adaptation co-benefits in ecosystems,0.62,HIGH,산림·습지·해양 탄소흡수원 적응 (제3차 §III.3.4),Co-benefits of ecosystem-based mitigation and adaptation,제3차 §III.3.4; IPCC AR6 WGII Ch.18
자연·환경 적응,JT-ADAPT,Just Transition — 환경정의,◐MED,환경피해 취약지역 생태복원 우선 + 환경정의 연계,UAE JTWP indigenous peoples and environment,0.48,LOW_CONFIDENCE,취약지역 환경복원 + 환경정의 관련 규정 (환경정의법); 원주민 지식 체계 미언급,Just transition includes environmental justice and indigenous peoples knowledge,제3차 §III.3; 환경정의법; UAE JTWP
농림수산 적응,GGA-IND,GGA food/agriculture target 9(b),●HIGH,기후스마트농업 + 식량작물 다변화 (Howlett 4축 모두),UAE-Belém 9(b) Food & agriculture (46 indicators 13 headline + 53 sub),0.75,HIGH,기후변화 대응 농작물 품종 개발 + 양식어종 다변화 (제3차 §III.5),Climate-resilient food production sustainable practices (UAE-Belém 9b),제3차 §III.5; UAE_Belem_9b_Food.pdf
농림수산 적응,ADAPT-FIN,Adaptation finance — 농업·어업,◐MED,농업재해보험 + 수산업 재해지원 + 기후스마트농업 투자 (국내 Treasure 강함),GCF adaptation finance for food security,0.52,MEDIUM,농작물재해보험 기후위기 특약 확대 + 기후스마트농업 투자 (제3차 §III.5.3); GCF 농업 사업 참여 미확인,Adaptation finance for food and agriculture systems,FCCC/PA/CMA/2025/L.24; 농림부 재해보험 통계
농림수산 적응,L&D-OP,L&D Fund / agricultural disaster relief,◐MED,농작물재해보험 + 양식수산물재해보험 (국내 Treasure),L&D non-economic loss in agriculture,0.50,HIGH,농작물·양식수산물 재해보험 가입률 확대 (제3차 §III.5.4),Address non-economic losses in food systems,제3차 §III.5.4; FRLD COP28
농림수산 적응,NAPs,NAP — 농림수산 부문 계획,●HIGH,농업 분야 기후변화 적응 세부시행계획 (의무 부문 계획),UAE-Belém NAP coverage of food and agriculture,0.78,HIGH,농업·임업·수산업 분야 기후변화 적응대책 세부시행계획 수립 의무 (탄소중립기본법 §47),NAP should cover food agriculture and fisheries sectors,제3차 §III.5; FCCC/SBI/2025/17
농림수산 적응,MIT-ADAPT,Mitigation-Adaptation nexus — 농림,◐MED,저탄소 농업 + 흡수원 기능 통합 (탄소중립·적응 공편익),SBSTA mitigation-adaptation co-benefits food systems,0.58,MEDIUM,저탄소 스마트농업 전환 + 농업 탄소중립 (제3차 §V.2); AFOLU 통합 접근,Co-benefits of low-carbon agriculture and adaptation,제3차 §V.2; IPCC AR6 WGIII Ch.7 AFOLU
농림수산 적응,JT-ADAPT,Just Transition — 농어촌 취약계층,◐MED,농어촌 고령화 취약농가 기후적응 지원 + 소농 보호,UAE JTWP vulnerable smallholder farmers,0.55,MEDIUM,기후취약 농어촌 지역 적응 지원 강화 (제3차 §III.5.5); 소규모 가족농 우선지원,Just transition supports smallholders vulnerable farmers and fishing communities,제3차 §III.5; UAE JTWP
건강·국민 적응,GGA-IND,GGA health target 9(c),●HIGH,폭염·감염병 조기경보 + 기후건강영향평가 (Nodality+Authority 모두 강),UAE-Belém 9(c) Health (54 indicators),0.80,HIGH,폭염·한파·미세먼지 건강영향평가 의무화 (제3차 §III.4),Resilience to climate-related health impacts climate-resilient health services (UAE-Belém 9c),제3차 §III.4; UAE_Belem_9c_Health.pdf
건강·국민 적응,GGA-IND,GGA water target 9(a),◐MED,가뭄·홍수 조기경보 + 상하수도 안정 (Korean 강함 국제 voluntary 한계),UAE-Belém 9(a) Water (41 indicators),0.68,HIGH,기후변화 대응 물 안보 강화 (제3차 §III.1),Climate-resilient water supply and sanitation (UAE-Belém 9a),제3차 §III.1; UAE_Belem_9a_Water.pdf
건강·국민 적응,ADAPT-FIN,Adaptation finance — 보건의료,◐MED,건강보험 기후건강 급여 확대 + 폭염·한파 의료비 지원 (국내 Treasure),GCF health adaptation finance,0.50,MEDIUM,기후건강 취약계층 의료지원 예산 확대 (제3차 §III.4.3); GCF 보건 적응 사업 참여 미확인,Adaptation finance for health systems and climate-resilient health services,제3차 §III.4; FCCC/PA/CMA/2025/L.24
건강·국민 적응,L&D-OP,L&D — 기후재해 인명·건강 피해,◐MED,재해피해자 의료·심리지원 (국내 Organization+Treasure),FRLD non-economic loss human health and wellbeing,0.48,LOW_CONFIDENCE,자연재난 피해자 심리지원·의료지원 체계 (재난피해자 지원 법률); FRLD 국제연계 미확인,Non-economic losses including human health loss and damage (FRLD),FRLD COP28; 재난피해자 지원 법률 §8
건강·국민 적응,NAPs,NAP — 건강·국민생활 부문,●HIGH,보건·건강 분야 기후변화 적응 세부시행계획 (의무),UAE-Belém health NAP integration,0.79,HIGH,보건분야 기후변화 적응 세부시행계획 수립 의무 (탄소중립기본법 §47); 17개 부문 중 보건 포함,NAP should include health sector adaptation,제3차 §III.4; FCCC/SBI/2025/17
건강·국민 적응,MIT-ADAPT,Mitigation-Adaptation nexus — 건강·대기,◐MED,미세먼지 대응 + 건강공편익 (대기-건강-기후 통합),SBSTA health co-benefits of mitigation and adaptation,0.55,MEDIUM,미세먼지·대기오염 저감이 기후·건강 공편익 달성 (제3차 §III.4.4); SBSTA co-benefit 작업 연계,Health co-benefits of mitigation including air quality improvements,제3차 §III.4.4; WHO 기후건강 공편익 보고서 2024
건강·국민 적응,JT-ADAPT,JT vulnerable population health,◐MED,기후취약계층 (노인·아동) 건강 모니터링,UAE JTWP vulnerable groups health protection,0.65,HIGH,폭염·미세먼지 취약계층 의료지원체계 (제3차 §III.4.2),Just transition addresses health of vulnerable populations,제3차 §III.4.2; UAE JTWP
